institution,Location,Region,SIZE,FOCUS,RES.,STATUS,academic_reputation_score,Academic_Reputation_Rank,employer_reputation_score,Employer_Reputation_Rank,faculty_student_score,Faculty_Student_Rank,citations_score,Citations_per_Faculty_Rank,international_faculty_score,International_Faculty_Rank,international_student_score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,year,rank,ranking_level,predicted_rank,student_performance_score,student_program_target,label_encoded,student_program_target_predicted
University of Cambridge,United Kingdom,Europe,L,FC,VH,A,100.0,3,100.0,4,100.0,17,84.6,96,100.0,73,94.8,98,99.3,10,100.0,5,84.8,127=,2025,3.149800000000001,Top,1,94.85000000000001,Beasiswa,0,Beasiswa
Massachusetts Institute of Technology (MIT),United States,Americas,M,CO,VH,B,100.0,4,100.0,2,100.0,11,100.0,9,99.3,100,86.8,143,96.0,58,100.0,8,99.0,15=,2025,3.5074999999999994,Top,2,96.7,Beasiswa,0,Beasiswa
University of Oxford,United Kingdom,Europe,L,FC,VH,A,100.0,2,100.0,5,100.0,8,84.8,93,98.1,120,97.7,73,100.0,1,100.0,3,85.0,126,2025,4.635499999999999,Top,3,95.625,Beasiswa,0,Beasiswa
Imperial College London,United Kingdom,Europe,L,FC,VH,A,98.5,22,99.5,11,98.2,45,93.9,54,100.0,66,99.6,44,97.4,34,93.4,61,99.7,6,2025,5.4396,Top,4,97.55000000000001,Beasiswa,0,Beasiswa
Stanford University,United States,Americas,L,FC,VH,B,100.0,5,100.0,3,100.0,12,99.0,27,70.3,284,60.8,244,96.8,45,100.0,2,81.2,148=,2025,5.564200000000008,Top,5,89.95,Beasiswa,0,Beasiswa
California Institute of Technology (Caltech),United States,Americas,S,CO,VH,B,96.5,29,95.3,33,100.0,4,100.0,5,100.0,65,79.8,172,65.5,549,31.0,407,62.5,253,2025,7.026299999999995,Top,6,94.075,Beasiswa,0,Beasiswa
Harvard University,United States,Americas,L,FC,VH,B,100.0,1,100.0,1,96.3,53,100.0,1,74.1,269,69.0,215,99.6,5,100.0,1,84.4,130,2025,9.320200000000002,Top,7,91.325,Beasiswa,0,Beasiswa
National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,A,99.5,15,91.1,48,68.8,189,93.1,61,100.0,41,88.9,129,91.6,146,100.0,6,97.7,26=,2025,12.180499999999997,Top,8,87.57499999999999,Beasiswa,0,Beasiswa
University of Pennsylvania,United States,Americas,L,FC,VH,B,96.3,31,91.9,45,99.8,28,74.0,138,90.9,188,66.2,226,91.9,137,100.0,7,93.0,71,2025,12.913200000000003,Top,9,84.075,Outsourcing,1,Outsourcing
UCL,United Kingdom,Europe,XL,FC,VH,A,99.5,14,98.3,18,95.9,56,72.2,145,99.0,106,100.0,21,99.9,2,70.3,157,74.8,190=,2025,13.236599999999996,Top,10,91.9,Beasiswa,0,Beasiswa
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Europe,L,FO,VH,A,98.8,19,87.2,57,65.9,199,97.9,35,100.0,25,98.6,63,95.7,64,90.5,73,98.8,18,2025,14.038799999999998,Top,11,90.30000000000001,Beasiswa,0,Beasiswa
The University of Hong Kong,Hong Kong SAR,Asia,L,FC,VH,A,97.4,27,59.4,135,81.2,124,86.4,89,100.0,33,99.3,52,81.4,300,99.7,14,89.2,101=,2025,15.3893,Top,12,91.075,Beasiswa,0,Beasiswa
Peking University,China (Mainland),Asia,XL,FC,VH,A,99.5,13,96.6,28,92.6,75,97.7,40,50.3,365,23.6,497,79.8,329,94.2,56,46.9,330=,2025,21.20379999999999,Top,13,78.35000000000001,Outsourcing,1,Outsourcing
University of Chicago,United States,Americas,L,FC,VH,B,99.1,17,96.4,29,94.2,69,60.8,197,79.0,244,87.0,140,85.1,245,99.1,16,46.9,330=,2025,22.5218,Top,14,85.275,Beasiswa,0,Beasiswa
Tsinghua University,China (Mainland),Asia,XL,FC,VH,A,99.2,16,97.7,22,95.0,62,99.1,26,18.1,623,13.4,654,79.2,337,92.3,68,40.4,363=,2025,25.88720000000002,Top,15,76.67499999999998,Outsourcing,1,Outsourcing
EPFL,Switzerland,Europe,M,FO,VH,A,84.2,56,67.2,111,91.2,80,93.6,57,100.0,28,100.0,14,81.7,291,27.2,440,86.7,114=,2025,26.373599999999996,Top,16,92.25,Beasiswa,0,Beasiswa
Yale University,United States,Americas,L,FC,VH,B,99.9,9,99.9,7,100.0,3,38.6,363,91.5,181,63.3,238,93.9,100,98.5,21,92.2,76=,2025,27.407799999999984,Top,17,75.45,Outsourcing,1,Outsourcing
Columbia University,United States,Americas,XL,FC,VH,B,99.6,12,98.8,15,100.0,16,31.7,417,41.5,413,97.0,79,98.5,19,99.9,9,71.8,211=,2025,27.41139999999998,Top,18,82.07499999999999,Outsourcing,1,Outsourcing
University of Michigan-Ann Arbor,United States,Americas,XL,FC,VH,A,97.9,26,92.1,43,80.3,133,47.6,284,65.5,299,39.2,359,95.8,63,94.5,55,62.2,254=,2025,29.605000000000004,Top,19,66.25,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Seoul National University,South Korea,Asia,L,FC,VH,A,98.5,20,98.6,16,83.1,117,71.7,151,10.5,701+,16.9,586,73.2,435,100.0,4,96.0,46=,2025,30.419500000000003,Top,20,67.55,Pelatihan Lanjutan,2,Pelatihan Lanjutan
The University of Edinburgh,United Kingdom,Europe,XL,FC,VH,A,98.3,24,97.2,24,65.5,201,47.7,282,98.7,111,99.8,41,99.5,7,55.9,222,99.0,15=,2025,30.765299999999982,Top,21,77.825,Outsourcing,1,Outsourcing
The University of Tokyo,Japan,Asia,L,FC,VH,A,100.0,7,99.8,9,89.3,89,57.3,215,10.1,701+,29.7,432,87.4,207,99.9,10,98.3,22,2025,30.941599999999998,Top,22,69.075,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Johns Hopkins University,United States,Americas,L,FC,VH,B,86.0,53,62.6,129,100.0,7,84.2,99,63.7,307,95.8,92,98.7,15,71.5,152,61.9,258=,2025,31.170799999999996,Top,23,91.5,Beasiswa,0,Beasiswa
